Symbol,Stock Type
RMD,sp500
ROK,sp500
ROL,sp500
ROP,sp500
ROST,sp500
RSG,sp500
RTX,sp500
SBAC,sp500
SBNY,sp500
SBUX,sp500
SCHW,sp500
SEDG,sp500
SEE,sp500
SHW,sp500
SIVB,sp500
SJM,sp500
SLB,sp500
SNA,sp500
SNPS,sp500
SO,sp500
SPG,sp500
SPGI,sp500
SRE,sp500
STE,sp500
STT,sp500
STX,sp500
STZ,sp500
SWK,sp500
SWKS,sp500
SYF,sp500
SYK,sp500
SYY,sp500
T,sp500
TAP,sp500
TDG,sp500
TDY,sp500
TECH,sp500
TEL,sp500
TER,sp500
TFC,sp500
TFX,sp500
TGT,sp500
TJX,sp500
TMO,sp500
TMUS,sp500
TPR,sp500
TRMB,sp500
TROW,sp500
TRV,sp500
TSCO,sp500
TSLA,sp500
TSN,sp500
TT,sp500
TTWO,sp500
TWTR,sp500
TXN,sp500
TXT,sp500
TYL,sp500
UA,sp500
UAA,sp500
UAL,sp500
UDR,sp500
UHS,sp500
ULTA,sp500
UNH,sp500
UNP,sp500
UPS,sp500
URI,sp500
USB,sp500
V,sp500
VFC,sp500
VLO,sp500
VMC,sp500
VNO,sp500
VRSK,sp500
VRSN,sp500
VRTX,sp500
VTR,sp500
VTRS,sp500
VZ,sp500
WAB,sp500
WAT,sp500
WBA,sp500
WDC,sp500
WEC,sp500
WELL,sp500
WFC,sp500
WHR,sp500
WM,sp500
WMB,sp500
WMT,sp500
WRB,sp500
WRK,sp500
WST,sp500
WTW,sp500
WY,sp500
WYNN,sp500
XEL,sp500
XOM,sp500
XRAY,sp500
XYL,sp500
YUM,sp500
ZBH,sp500
ZBRA,sp500
ZION,sp500
ZTS,sp500
AACG,nasdaq
AACI,nasdaq
AADI,nasdaq
AADR,nasdaq
AAL,nasdaq
AAME,nasdaq
AAOI,nasdaq
AAON,nasdaq
AAPL,nasdaq
AATC,nasdaq
AAWW,nasdaq
AAXJ,nasdaq
ABCB,nasdaq
ABCL,nasdaq
ABCM,nasdaq
ABEO,nasdaq
ABGI,nasdaq
ABIO,nasdaq
ABMD,nasdaq
ABNB,nasdaq
ABOS,nasdaq
ABSI,nasdaq
ABST,nasdaq
ABTX,nasdaq
ABUS,nasdaq
ABVC,nasdaq
ACAB,nasdaq
ACAD,nasdaq
ACAH,nasdaq
ACAX,nasdaq
ACB,nasdaq
ACBA,nasdaq
ACCD,nasdaq
ACER,nasdaq
ACET,nasdaq
ACEV,nasdaq
ACGL,nasdaq
ACHC,nasdaq
ACHL,nasdaq
ACHV,nasdaq
ACIU,nasdaq
ACIW,nasdaq
ACLS,nasdaq
ACLX,nasdaq
ACMR,nasdaq
ACNB,nasdaq
ACOR,nasdaq
ACQR,nasdaq
ACRS,nasdaq
ACRX,nasdaq
ACST,nasdaq
ACT,nasdaq
ACTD,nasdaq
ACTG,nasdaq
ACVA,nasdaq
ACWI,nasdaq
ACWX,nasdaq
ACXP,nasdaq
ADAG,nasdaq
ADAL,nasdaq
ADAP,nasdaq
ADBE,nasdaq
ADER,nasdaq
ADES,nasdaq
ADGI,nasdaq
ADI,nasdaq
ADIL,nasdaq
ADMA,nasdaq
ADMP,nasdaq
ADN,nasdaq
ADOC,nasdaq
ADP,nasdaq
ADPT,nasdaq
ADRE,nasdaq
ADSE,nasdaq
ADSK,nasdaq
ADTH,nasdaq
ADTN,nasdaq
ADTX,nasdaq
ADUS,nasdaq
ADV,nasdaq
ADVM,nasdaq
ADXN,nasdaq
AEAC,nasdaq
AEAE,nasdaq
AEHA,nasdaq
AEHL,nasdaq
AEHR,nasdaq
AEI,nasdaq
AEIS,nasdaq
AEMD,nasdaq
AEP,nasdaq
AERC,nasdaq
AERI,nasdaq
AESE,nasdaq
AEY,nasdaq
AEYE,nasdaq
AEZS,nasdaq
AFAC,nasdaq
AFAQ,nasdaq
AFBI,nasdaq
AFCG,nasdaq
AFIB,nasdaq
AFMD,nasdaq
AFRM,nasdaq
AFYA,nasdaq
AGBA,nasdaq
AGEN,nasdaq
AGFS,nasdaq
AGFY,nasdaq
AGGR,nasdaq
AGIL,nasdaq
AGIO,nasdaq
AGLE,nasdaq
AGMH,nasdaq
AGNC,nasdaq
AGNG,nasdaq
AGRI,nasdaq
AGRX,nasdaq
AGTC,nasdaq
AGYS,nasdaq
AGZD,nasdaq
AHCO,nasdaq
AHG,nasdaq
AHI,nasdaq
AHPA,nasdaq
AHPI,nasdaq
AHRN,nasdaq
AIA,nasdaq
AIB,nasdaq
AIH,nasdaq
AIHS,nasdaq
AIKI,nasdaq
AIMC,nasdaq
AINV,nasdaq
AIP,nasdaq
AIQ,nasdaq
AIRG,nasdaq
AIRR,nasdaq
AIRS,nasdaq
AIRT,nasdaq
AKAM,nasdaq
AKAN,nasdaq
AKBA,nasdaq
AKIC,nasdaq
AKRO,nasdaq
AKTS,nasdaq
AKTX,nasdaq
AKU,nasdaq
AKUS,nasdaq
AKYA,nasdaq
ALAC,nasdaq
ALBO,nasdaq
ALCO,nasdaq
ALDX,nasdaq
ALEC,nasdaq
ALF,nasdaq
ALGM,nasdaq
ALGN,nasdaq
ALGS,nasdaq
ALGT,nasdaq
ALHC,nasdaq
ALIM,nasdaq
ALJJ,nasdaq
ALKS,nasdaq
ALKT,nasdaq
ALLK,nasdaq
ALLO,nasdaq
ALLR,nasdaq
ALLT,nasdaq
ALNA,nasdaq
ALNY,nasdaq
ALOR,nasdaq
ALOT,nasdaq
ALPA,nasdaq
ALPN,nasdaq
ALPP,nasdaq
ALR,nasdaq
ALRM,nasdaq
ALRN,nasdaq
ALRS,nasdaq
ALSA,nasdaq
ALT,nasdaq
ALTO,nasdaq
ALTR,nasdaq
ALTU,nasdaq
ALTY,nasdaq
ALVR,nasdaq
ALXO,nasdaq
ALYA,nasdaq
ALZN,nasdaq
AMAL,nasdaq
AMAO,nasdaq
AMAT,nasdaq
AMBA,nasdaq
AMCI,nasdaq
AMCX,nasdaq
AMD,nasdaq
AMED,nasdaq
AMEH,nasdaq
AMGN,nasdaq
AMKR,nasdaq
AMLX,nasdaq
AMNB,nasdaq
AMOT,nasdaq
AMPG,nasdaq
AMPH,nasdaq
AMPL,nasdaq
AMRK,nasdaq
AMRN,nasdaq
AMRS,nasdaq
AMSC,nasdaq
AMSF,nasdaq
AMST,nasdaq
AMTB,nasdaq
AMTI,nasdaq
AMTX,nasdaq
AMWD,nasdaq
AMYT,nasdaq
AMZN,nasdaq
ANAB,nasdaq
ANAT,nasdaq
ANDE,nasdaq
ANEB,nasdaq
ANGH,nasdaq
ANGI,nasdaq
ANGL,nasdaq
ANGN,nasdaq
ANGO,nasdaq
ANIK,nasdaq
ANIP,nasdaq
ANIX,nasdaq
ANNX,nasdaq
ANPC,nasdaq
ANSS,nasdaq
ANTE,nasdaq
ANTX,nasdaq
ANY,nasdaq
ANZU,nasdaq
AOGO,nasdaq
AOSL,nasdaq
AOUT,nasdaq
APA,nasdaq
APAC,nasdaq
APCX,nasdaq
APDN,nasdaq
APEI,nasdaq
APEN,nasdaq
API,nasdaq
APLS,nasdaq
APLT,nasdaq
APM,nasdaq
APMI,nasdaq
APOG,nasdaq
APP,nasdaq
APPF,nasdaq
APPH,nasdaq
APPN,nasdaq
APPS,nasdaq
APRE,nasdaq
APTM,nasdaq
APTO,nasdaq
APTX,nasdaq
APVO,nasdaq
APWC,nasdaq
APXI,nasdaq
APYX,nasdaq
AQB,nasdaq
AQMS,nasdaq
AQST,nasdaq
AQWA,nasdaq
ARAV,nasdaq
ARAY,nasdaq
ARBE,nasdaq
ARBG,nasdaq
ARBK,nasdaq
ARCB,nasdaq
ARCC,nasdaq
ARCE,nasdaq
ARCK,nasdaq
ARCT,nasdaq
ARDS,nasdaq
ARDX,nasdaq
AREB,nasdaq
AREC,nasdaq
ARGU,nasdaq
ARGX,nasdaq
ARHS,nasdaq
ARIZ,nasdaq
ARKO,nasdaq
ARKR,nasdaq
ARLP,nasdaq
AROW,nasdaq
ARQQ,nasdaq
ARQT,nasdaq
ARRW,nasdaq
ARRY,nasdaq
ARTA,nasdaq
ARTE,nasdaq
ARTL,nasdaq
ARTW,nasdaq
ARVL,nasdaq
ARVN,nasdaq
ARWR,nasdaq
ARYD,nasdaq
ARYE,nasdaq
ASAX,nasdaq
ASCA,nasdaq
ASET,nasdaq
ASLE,nasdaq
ASLN,nasdaq
ASMB,nasdaq
ASML,nasdaq
ASND,nasdaq
ASO,nasdaq
ASPA,nasdaq
ASPC,nasdaq
ASPS,nasdaq
ASPU,nasdaq
ASRT,nasdaq
ASRV,nasdaq
ASTC,nasdaq
ASTE,nasdaq
ASTL,nasdaq
ASTR,nasdaq
ASTS,nasdaq
ASUR,nasdaq
ASYS,nasdaq
ATAI,nasdaq
ATAK,nasdaq
ATAX,nasdaq
ATCX,nasdaq
ATEC,nasdaq
ATER,nasdaq
ATEX,nasdaq
ATHA,nasdaq
ATHE,nasdaq
ATHX,nasdaq
ATIF,nasdaq
ATLC,nasdaq
ATLO,nasdaq
ATNF,nasdaq
ATNI,nasdaq
ATNX,nasdaq
ATOM,nasdaq
ATOS,nasdaq
ATRA,nasdaq
ATRC,nasdaq
ATRI,nasdaq
ATRO,nasdaq
ATRS,nasdaq
ATSG,nasdaq
ATVC,nasdaq
ATVI,nasdaq
ATXI,nasdaq
ATXS,nasdaq
ATY,nasdaq
AUB,nasdaq
AUBN,nasdaq
AUDC,nasdaq
AUGX,nasdaq
AUID,nasdaq
AUPH,nasdaq
AUR,nasdaq
AURA,nasdaq
AURC,nasdaq
AUTL,nasdaq
AUTO,nasdaq
AUUD,nasdaq
AUVI,nasdaq
AVAC,nasdaq
AVAH,nasdaq
AVAV,nasdaq
AVCO,nasdaq
AVCT,nasdaq
AVDL,nasdaq
AVDX,nasdaq
AVEO,nasdaq
AVGO,nasdaq
AVGR,nasdaq
AVHI,nasdaq
AVID,nasdaq
AVIR,nasdaq
AVNW,nasdaq
AVO,nasdaq
AVPT,nasdaq
AVRO,nasdaq
AVT,nasdaq
AVTE,nasdaq
AVTX,nasdaq
AVXL,nasdaq
AWH,nasdaq
AWRE,nasdaq
AXDX,nasdaq
AXGN,nasdaq
